student_id,department,math_score,physics_score,chemistry_score,biology_score,programming_interest,electronics_interest,mechanical_interest,medical_interest,creativity_score,communication_score,science_avg,stem_score,bio_chem_score,tech_interest,engineering_interest,medical_affinity,math_bio_gap,tech_medical_gap,science_comm_gap,soft_skills,is_tech,is_medical,is_business,is_engineering
33,Mechanical,83,88,67,53,4,2,10,2,7,4,69.33333333333333,85.5,60.0,3.0,6.0,31.0,30,1.0,65.33333333333333,5.5,0,0,0,1
34,Nursing,68,73,77,85,1,2,1,10,7,10,78.33333333333333,70.5,81.0,1.5,1.5,45.5,-17,-8.5,68.33333333333333,8.5,0,1,1,0
35,EEE,90,96,61,45,4,10,4,1,8,4,67.33333333333333,93.0,53.0,7.0,7.0,27.0,45,6.0,63.33333333333333,6.0,0,0,0,0
36,EEE,84,92,60,60,6,8,6,0,8,4,70.66666666666667,88.0,60.0,7.0,7.0,30.0,24,7.0,66.66666666666667,6.0,0,0,0,0
37,BCom,81,61,66,47,4,3,4,4,7,11,58.0,71.0,56.5,3.5,3.5,30.25,34,-0.5,47.0,9.0,0,0,1,0
38,Civil,86,80,61,56,3,1,5,2,9,2,65.66666666666667,83.0,58.5,2.0,3.0,30.25,30,0.0,63.66666666666667,5.5,0,0,0,0
39,BA English,58,55,52,69,2,0,1,2,11,8,58.666666666666664,56.5,60.5,1.0,0.5,31.25,-11,-1.0,50.666666666666664,9.5,0,0,1,0
40,CSE,94,83,62,59,10,5,3,1,8,6,68.0,88.5,60.5,7.5,4.0,30.75,35,6.5,62.0,7.0,1,0,0,0
41,Pharmacy,68,82,100,95,2,0,0,7,6,10,92.33333333333333,75.0,97.5,1.0,0.0,52.25,-27,-6.0,82.33333333333333,8.0,0,0,0,0
42,BBA,69,65,59,72,4,6,5,3,7,9,65.33333333333333,67.0,65.5,5.0,5.5,34.25,-3,2.0,56.33333333333333,8.0,0,0,1,0
43,CSE,91,78,68,59,10,1,1,1,3,5,68.33333333333333,84.5,63.5,5.5,1.0,32.25,32,4.5,63.33333333333333,4.0,1,0,0,0
44,Mechanical,85,86,76,53,4,3,10,2,6,7,71.66666666666667,85.5,64.5,3.5,6.5,33.25,32,1.5,64.66666666666667,6.5,0,0,0,1
45,CSE,93,83,69,58,10,6,3,0,7,5,70.0,88.0,63.5,8.0,4.5,31.75,35,8.0,65.0,6.0,1,0,0,0
46,CSE,93,89,61,48,10,7,1,3,2,8,66.0,91.0,54.5,8.5,4.0,28.75,45,5.5,58.0,5.0,1,0,0,0
47,Mechanical,88,90,69,67,5,8,10,2,4,5,75.33333333333333,89.0,68.0,6.5,9.0,35.0,21,4.5,70.33333333333333,4.5,0,0,0,1
48,Mechanical,92,95,75,59,3,2,10,2,6,8,76.33333333333333,93.5,67.0,2.5,6.0,34.5,33,0.5,68.33333333333333,7.0,0,0,0,1
49,BA English,48,60,63,64,4,1,1,5,6,9,62.333333333333336,54.0,63.5,2.5,1.0,34.25,-16,-2.5,53.333333333333336,7.5,0,0,0,0
50,Pharmacy,70,71,93,87,1,4,1,10,8,9,83.66666666666667,70.5,90.0,2.5,2.5,50.0,-17,-7.5,74.66666666666667,8.5,0,1,1,0
51,Mechanical,83,95,66,64,5,8,10,1,9,6,75.0,89.0,65.0,6.5,9.0,33.0,19,5.5,69.0,7.5,0,0,0,1
52,BA English,60,61,52,70,3,3,1,0,8,8,61.0,60.5,61.0,3.0,2.0,30.5,-10,3.0,53.0,8.0,0,0,1,0
53,CSE,96,77,64,52,10,5,4,2,5,6,64.33333333333333,86.5,58.0,7.5,4.5,30.0,44,5.5,58.33333333333333,5.5,1,0,0,0
54,EEE,94,100,75,48,5,7,6,0,10,3,74.33333333333333,97.0,61.5,6.0,6.5,30.75,46,6.0,71.33333333333333,6.5,0,0,0,0
55,Nursing,67,61,80,89,0,0,1,10,6,9,76.66666666666667,64.0,84.5,0.0,0.5,47.25,-22,-10.0,67.66666666666667,7.5,0,1,0,0
56,BA English,58,63,65,71,5,3,0,3,8,9,66.33333333333333,60.5,68.0,4.0,1.5,35.5,-13,1.0,57.33333333333333,8.5,0,0,1,0
57,MBBS,81,73,100,98,2,3,1,10,5,9,90.33333333333333,77.0,99.0,2.5,2.0,54.5,-17,-7.5,81.33333333333333,7.0,0,1,0,0
58,ECE,87,91,60,49,9,10,2,0,8,8,66.66666666666667,89.0,54.5,9.5,6.0,27.25,38,9.5,58.66666666666667,8.0,1,0,1,0
59,Pharmacy,78,71,100,87,2,0,2,9,6,8,86.0,74.5,93.5,1.0,1.0,51.25,-9,-8.0,78.0,7.0,0,1,0,0
60,BBA,78,57,67,62,3,6,4,3,9,8,62.0,67.5,64.5,4.5,5.0,33.75,16,1.5,54.0,8.5,0,0,1,0
61,Mechanical,91,90,66,50,1,2,10,2,8,1,68.66666666666667,90.5,58.0,1.5,6.0,30.0,41,-0.5,67.66666666666667,4.5,0,0,0,1
62,Nursing,61,57,69,90,1,0,0,9,6,8,72.0,59.0,79.5,0.5,0.0,44.25,-29,-8.5,64.0,7.0,0,1,0,0
63,Pharmacy,68,69,98,88,1,5,0,5,6,8,85.0,68.5,93.0,3.0,2.5,49.0,-20,-2.0,77.0,7.0,0,0,0,0
64,Nursing,66,63,74,87,0,2,0,8,7,10,74.66666666666667,64.5,80.5,1.0,1.0,44.25,-21,-7.0,64.66666666666667,8.5,0,1,1,0
65,Civil,80,79,70,60,2,2,4,3,9,5,69.66666666666667,79.5,65.0,2.0,3.0,34.0,20,-1.0,64.66666666666667,7.0,0,0,0,0
66,Mechanical,86,94,73,65,5,2,10,3,7,6,77.33333333333333,90.0,69.0,3.5,6.0,36.0,21,0.5,71.33333333333333,6.5,0,0,0,1
67,Civil,76,74,53,63,1,3,4,3,5,3,63.333333333333336,75.0,58.0,2.0,3.5,30.5,13,-1.0,60.333333333333336,4.0,0,0,0,0
68,CSE,95,87,61,65,10,4,3,2,7,6,71.0,91.0,63.0,7.0,3.5,32.5,30,5.0,65.0,6.5,1,0,0,0
69,Pharmacy,72,75,96,91,3,1,3,4,5,7,87.33333333333333,73.5,93.5,2.0,2.0,48.75,-19,-2.0,80.33333333333333,6.0,0,0,0,0
70,BBA,72,61,63,52,2,7,0,3,10,9,58.666666666666664,66.5,57.5,4.5,3.5,30.25,20,1.5,49.666666666666664,9.5,0,0,1,0
71,BA English,46,48,63,65,6,4,1,4,9,6,58.666666666666664,47.0,64.0,5.0,2.5,34.0,-19,1.0,52.666666666666664,7.5,0,0,0,0
72,Civil,82,75,64,57,4,1,8,3,4,4,65.33333333333333,78.5,60.5,2.5,4.5,31.75,25,-0.5,61.33333333333333,4.0,0,0,0,0
73,Pharmacy,65,71,95,87,2,2,1,10,8,9,84.33333333333333,68.0,91.0,2.0,1.5,50.5,-22,-8.0,75.33333333333333,8.5,0,1,1,0
74,ECE,88,88,64,47,10,10,3,2,6,7,66.33333333333333,88.0,55.5,10.0,6.5,28.75,41,8.0,59.33333333333333,6.5,1,0,0,0
75,BCom,75,54,53,54,8,4,2,1,3,6,53.666666666666664,64.5,53.5,6.0,3.0,27.25,21,5.0,47.666666666666664,4.5,0,0,0,0
76,Mechanical,84,90,66,64,4,4,10,3,5,4,73.33333333333333,87.0,65.0,4.0,7.0,34.0,20,1.0,69.33333333333333,4.5,0,0,0,1
77,Pharmacy,74,70,94,87,1,3,3,8,3,9,83.66666666666667,72.0,90.5,2.0,3.0,49.25,-13,-6.0,74.66666666666667,6.0,0,1,0,0
78,BA English,59,56,55,63,2,2,0,0,12,8,58.0,57.5,59.0,2.0,1.0,29.5,-4,2.0,50.0,10.0,0,0,1,0
79,Pharmacy,66,69,94,89,2,2,0,10,8,8,84.0,67.5,91.5,2.0,1.0,50.75,-23,-8.0,76.0,8.0,0,1,1,0
80,EEE,93,96,63,48,5,10,3,2,6,3,69.0,94.5,55.5,7.5,6.5,28.75,45,5.5,66.0,4.5,0,0,0,0
81,CSE,95,83,67,57,10,5,2,0,5,6,69.0,89.0,62.0,7.5,3.5,31.0,38,7.5,63.0,5.5,1,0,0,0
82,EEE,92,92,65,53,6,8,2,2,2,4,70.0,92.0,59.0,7.0,5.0,30.5,39,5.0,66.0,3.0,0,0,0,0
83,CSE,94,90,60,58,10,5,2,0,8,5,69.33333333333333,92.0,59.0,7.5,3.5,29.5,36,7.5,64.33333333333333,6.5,1,0,0,0
84,ECE,89,96,63,51,4,10,4,1,4,10,70.0,92.5,57.0,7.0,7.0,29.0,38,6.0,60.0,7.0,0,0,0,0
85,MBBS,71,83,95,97,2,8,2,10,8,8,91.66666666666667,77.0,96.0,5.0,5.0,53.0,-26,-5.0,83.66666666666667,8.0,0,1,1,0
86,BA English,70,62,58,55,3,1,1,3,9,10,58.333333333333336,66.0,56.5,2.0,1.0,29.75,15,-1.0,48.333333333333336,9.5,0,0,1,0
87,EEE,93,94,65,51,5,9,6,0,4,7,70.0,93.5,58.0,7.0,7.5,29.0,42,7.0,63.0,5.5,0,0,0,0
88,BBA,77,65,63,64,7,6,4,5,6,7,64.0,71.0,63.5,6.5,5.0,34.25,13,1.5,57.0,6.5,0,0,0,0
89,ECE,90,89,59,50,8,10,3,1,7,8,66.0,89.5,54.5,9.0,6.5,27.75,40,8.0,58.0,7.5,1,0,1,0
90,BBA,68,60,61,55,3,4,5,4,7,9,58.666666666666664,64.0,58.0,3.5,4.5,31.0,13,-0.5,49.666666666666664,8.0,0,0,1,0
91,BBA,70,65,59,60,3,5,4,5,7,9,61.333333333333336,67.5,59.5,4.0,4.5,32.25,10,-1.0,52.333333333333336,8.0,0,0,1,0
92,Civil,87,89,65,59,0,6,8,2,8,5,71.0,88.0,62.0,3.0,7.0,32.0,28,1.0,66.0,6.5,0,0,0,1
93,Mechanical,89,83,76,66,3,6,10,3,9,2,75.0,86.0,71.0,4.5,8.0,37.0,23,1.5,73.0,5.5,0,0,0,0
94,Nursing,65,57,68,87,0,2,0,10,10,10,70.66666666666667,61.0,77.5,1.0,1.0,43.75,-22,-9.0,60.66666666666667,10.0,0,1,1,0
95,Mechanical,92,90,69,55,10,3,10,2,8,7,71.33333333333333,91.0,62.0,6.5,6.5,32.0,37,4.5,64.33333333333333,7.5,1,0,0,1
96,CSE,96,80,67,58,10,8,3,1,6,2,68.33333333333333,88.0,62.5,9.0,5.5,31.75,38,8.0,66.33333333333333,4.0,1,0,0,0
97,MBBS,74,86,95,98,4,0,0,10,8,8,93.0,80.0,96.5,2.0,0.0,53.25,-24,-8.0,85.0,8.0,0,1,1,0
98,MBBS,81,88,100,96,5,2,0,10,6,9,94.66666666666667,84.5,98.0,3.5,1.0,54.0,-15,-6.5,85.66666666666667,7.5,0,1,0,0
99,EEE,92,88,58,59,4,8,5,3,2,3,68.33333333333333,90.0,58.5,6.0,6.5,30.75,33,3.0,65.33333333333333,2.5,0,0,0,0
100,MBBS,65,78,90,96,0,3,0,10,4,8,88.0,71.5,93.0,1.5,1.5,51.5,-31,-8.5,80.0,6.0,0,1,0,0
101,BBA,71,68,53,62,7,6,5,4,11,8,61.0,69.5,57.5,6.5,5.5,30.75,9,2.5,53.0,9.5,0,0,1,0
102,EEE,90,95,61,54,6,10,3,1,8,7,70.0,92.5,57.5,8.0,6.5,29.25,36,7.0,63.0,7.5,0,0,0,0
103,Civil,78,78,65,58,4,3,6,2,3,7,67.0,78.0,61.5,3.5,4.5,31.75,20,1.5,60.0,5.0,0,0,0,0
104,EEE,92,93,69,44,8,9,7,1,8,4,68.66666666666667,92.5,56.5,8.5,8.0,28.75,48,7.5,64.66666666666667,6.0,1,0,0,1
105,MBBS,79,80,90,97,2,2,1,10,8,7,89.0,79.5,93.5,2.0,1.5,51.75,-18,-8.0,82.0,7.5,0,1,0,0
106,BCom,77,54,43,55,1,5,5,3,12,9,50.666666666666664,65.5,49.0,3.0,5.0,26.0,22,0.0,41.666666666666664,10.5,0,0,1,0
107,Nursing,68,60,72,85,0,1,2,9,6,10,72.33333333333333,64.0,78.5,0.5,1.5,43.75,-17,-8.5,62.33333333333333,8.0,0,1,0,0
108,Pharmacy,74,78,96,95,2,6,3,4,9,7,89.66666666666667,76.0,95.5,4.0,4.5,49.75,-21,0.0,82.66666666666667,8.0,0,0,0,0
109,Nursing,61,74,73,81,0,1,2,9,8,9,76.0,67.5,77.0,0.5,1.5,43.0,-20,-8.5,67.0,8.5,0,0,1,0
110,BCom,80,67,60,61,0,8,1,1,6,11,62.666666666666664,73.5,60.5,4.0,4.5,30.75,19,3.0,51.666666666666664,8.5,0,0,0,0
111,BA English,54,54,56,68,6,1,3,3,8,10,59.333333333333336,54.0,62.0,3.5,2.0,32.5,-14,0.5,49.333333333333336,9.0,0,0,1,0
112,ECE,88,90,61,52,9,10,3,0,5,6,67.66666666666667,89.0,56.5,9.5,6.5,28.25,36,9.5,61.66666666666667,5.5,1,0,0,0
113,Mechanical,83,87,66,58,5,7,10,1,8,3,70.33333333333333,85.0,62.0,6.0,8.5,31.5,25,5.0,67.33333333333333,5.5,0,0,0,1
114,Pharmacy,76,76,97,86,3,6,0,7,7,8,86.33333333333333,76.0,91.5,4.5,3.0,49.25,-10,-2.5,78.33333333333333,7.5,0,0,1,0
115,Civil,89,76,59,53,3,4,5,4,4,3,62.666666666666664,82.5,56.0,3.5,4.5,30.0,36,-0.5,59.666666666666664,3.5,0,0,0,0
116,BA English,54,52,64,68,3,1,0,2,9,11,61.333333333333336,53.0,66.0,2.0,0.5,34.0,-14,0.0,50.333333333333336,10.0,0,0,1,0
117,Nursing,71,58,76,93,0,1,2,10,8,9,75.66666666666667,64.5,84.5,0.5,1.5,47.25,-22,-9.5,66.66666666666667,8.5,0,1,1,0
118,Mechanical,82,88,73,57,2,4,10,2,7,5,72.66666666666667,85.0,65.0,3.0,7.0,33.5,25,1.0,67.66666666666667,6.0,0,0,0,1
119,BCom,72,61,63,64,2,5,2,1,9,7,62.666666666666664,66.5,63.5,3.5,3.5,32.25,8,2.5,55.666666666666664,8.0,0,0,0,0
120,BCom,77,55,60,54,2,8,2,1,9,6,56.333333333333336,66.0,57.0,5.0,5.0,29.0,23,4.0,50.333333333333336,7.5,0,0,0,0
121,Nursing,70,55,67,95,3,2,0,10,7,9,72.33333333333333,62.5,81.0,2.5,1.0,45.5,-25,-7.5,63.33333333333333,8.0,0,1,1,0
122,Nursing,66,59,74,86,2,2,1,8,4,10,73.0,62.5,80.0,2.0,1.5,44.0,-20,-6.0,63.0,7.0,0,1,0,0
123,BBA,69,54,56,56,4,6,2,0,8,9,55.333333333333336,61.5,56.0,5.0,4.0,28.0,13,5.0,46.333333333333336,8.5,0,0,1,0
124,Mechanical,75,94,73,52,1,8,10,1,2,4,73.0,84.5,62.5,4.5,9.0,31.75,23,3.5,69.0,3.0,0,0,0,1
125,Nursing,63,53,78,92,0,3,3,9,5,9,74.33333333333333,58.0,85.0,1.5,3.0,47.0,-29,-7.5,65.33333333333333,7.0,0,1,0,0
126,CSE,95,91,65,51,10,7,1,1,4,2,69.0,93.0,58.0,8.5,4.0,29.5,44,7.5,67.0,3.0,1,0,0,0
127,BCom,79,54,54,54,3,5,3,1,5,6,54.0,66.5,54.0,4.0,4.0,27.5,25,3.0,48.0,5.5,0,0,0,0
128,BBA,67,56,57,51,2,1,6,4,10,10,54.666666666666664,61.5,54.0,1.5,3.5,29.0,16,-2.5,44.666666666666664,10.0,0,0,1,0
129,ECE,89,95,68,54,7,10,4,1,5,8,72.33333333333333,92.0,61.0,8.5,7.0,31.0,35,7.5,64.33333333333333,6.5,0,0,0,0
130,Civil,79,77,66,54,4,2,2,2,1,7,65.66666666666667,78.0,60.0,3.0,2.0,31.0,25,1.0,58.66666666666667,4.0,0,0,0,0
131,MBBS,79,83,93,96,0,3,1,10,8,11,90.66666666666667,81.0,94.5,1.5,2.0,52.25,-17,-8.5,79.66666666666667,9.5,0,1,1,0
132,EEE,88,96,64,53,3,9,8,1,8,5,71.0,92.0,58.5,6.0,8.5,29.75,35,5.0,66.0,6.5,0,0,0,1
133,Pharmacy,63,76,97,90,2,2,3,8,7,7,87.66666666666667,69.5,93.5,2.0,2.5,50.75,-27,-6.0,80.66666666666667,7.0,0,1,0,0
134,EEE,83,98,62,57,2,10,9,1,7,5,72.33333333333333,90.5,59.5,6.0,9.5,30.25,26,5.0,67.33333333333333,6.0,0,0,0,1
135,Civil,73,79,70,54,6,2,4,2,6,8,67.66666666666667,76.0,62.0,4.0,3.0,32.0,19,2.0,59.66666666666667,7.0,0,0,0,0
136,Civil,84,78,64,57,8,0,8,1,6,6,66.33333333333333,81.0,60.5,4.0,4.0,30.75,27,3.0,60.33333333333333,6.0,0,0,0,0
137,MBBS,72,86,95,100,4,2,1,10,3,7,93.66666666666667,79.0,97.5,3.0,1.5,53.75,-28,-7.0,86.66666666666667,5.0,0,1,0,0
138,BA English,55,47,63,74,1,3,1,0,8,9,61.333333333333336,51.0,68.5,2.0,2.0,34.25,-19,2.0,52.333333333333336,8.5,0,0,1,0
139,Civil,76,79,72,50,5,2,10,2,4,7,67.0,77.5,61.0,3.5,6.0,31.5,26,1.5,60.0,5.5,0,0,0,0
140,EEE,92,94,56,51,7,7,3,1,4,3,67.0,93.0,53.5,7.0,5.0,27.25,41,6.0,64.0,3.5,0,0,0,0
141,Mechanical,91,91,64,55,7,5,10,3,8,6,70.0,91.0,59.5,6.0,7.5,31.25,36,3.0,64.0,7.0,0,0,0,1
142,BBA,72,54,59,60,7,3,2,0,11,8,57.666666666666664,63.0,59.5,5.0,2.5,29.75,12,5.0,49.666666666666664,9.5,0,0,1,0
143,MBBS,65,77,94,94,1,0,1,10,9,9,88.33333333333333,71.0,94.0,0.5,0.5,52.0,-29,-9.5,79.33333333333333,9.0,0,1,1,0
144,CSE,96,81,67,46,10,7,2,2,9,7,64.66666666666667,88.5,56.5,8.5,4.5,29.25,50,6.5,57.66666666666667,8.0,1,0,0,0
145,CSE,95,85,69,55,10,6,2,0,8,6,69.66666666666667,90.0,62.0,8.0,4.0,31.0,40,8.0,63.66666666666667,7.0,1,0,0,0
146,Civil,85,78,65,54,4,2,8,1,4,7,65.66666666666667,81.5,59.5,3.0,5.0,30.25,31,2.0,58.66666666666667,5.5,0,0,0,0
147,Mechanical,86,93,72,56,5,4,10,2,7,7,73.66666666666667,89.5,64.0,4.5,7.0,33.0,30,2.5,66.66666666666667,7.0,0,0,0,1
148,ECE,95,94,60,49,7,10,2,2,7,6,67.66666666666667,94.5,54.5,8.5,6.0,28.25,46,6.5,61.66666666666667,6.5,0,0,0,0
149,Pharmacy,68,71,98,91,3,2,1,6,7,5,86.66666666666667,69.5,94.5,2.5,1.5,50.25,-23,-3.5,81.66666666666667,6.0,0,0,0,0
150,BCom,83,59,48,55,3,8,3,1,12,8,54.0,71.0,51.5,5.5,5.5,26.25,28,4.5,46.0,10.0,0,0,1,0
151,Civil,76,79,63,48,4,2,6,1,9,8,63.333333333333336,77.5,55.5,3.0,4.0,28.25,28,2.0,55.333333333333336,8.5,0,0,1,0
152,ECE,89,94,62,49,7,10,4,0,6,3,68.33333333333333,91.5,55.5,8.5,7.0,27.75,40,8.5,65.33333333333333,4.5,0,0,0,0
153,EEE,90,93,63,58,6,8,5,0,5,4,71.33333333333333,91.5,60.5,7.0,6.5,30.25,32,7.0,67.33333333333333,4.5,0,0,0,0
154,CSE,96,85,64,50,10,8,3,0,6,7,66.33333333333333,90.5,57.0,9.0,5.5,28.5,46,9.0,59.33333333333333,6.5,1,0,0,0
155,Nursing,62,61,76,92,2,2,1,8,7,9,76.33333333333333,61.5,84.0,2.0,1.5,46.0,-30,-6.0,67.33333333333333,8.0,0,1,1,0
156,CSE,93,85,78,55,10,5,2,3,5,9,72.66666666666667,89.0,66.5,7.5,3.5,34.75,38,4.5,63.66666666666667,7.0,1,0,0,0
157,EEE,86,96,70,48,4,9,5,0,8,10,71.33333333333333,91.0,59.0,6.5,7.0,29.5,38,6.5,61.33333333333333,9.0,0,0,1,0
158,BCom,71,59,65,57,3,4,0,2,8,7,60.333333333333336,65.0,61.0,3.5,2.0,31.5,14,1.5,53.333333333333336,7.5,0,0,0,0
159,ECE,93,96,55,53,6,10,5,1,4,4,68.0,94.5,54.0,8.0,7.5,27.5,40,7.0,64.0,4.0,0,0,0,0
160,Mechanical,87,91,66,63,6,5,10,1,8,3,73.33333333333333,89.0,64.5,5.5,7.5,32.75,24,4.5,70.33333333333333,5.5,0,0,0,1
161,Civil,83,76,61,52,4,2,6,2,2,3,63.0,79.5,56.5,3.0,4.0,29.25,31,1.0,60.0,2.5,0,0,0,0
162,EEE,89,95,66,57,5,9,5,1,8,5,72.66666666666667,92.0,61.5,7.0,7.0,31.25,32,6.0,67.66666666666667,6.5,0,0,0,0
163,CSE,93,80,65,68,10,9,4,0,7,8,71.0,86.5,66.5,9.5,6.5,33.25,25,9.5,63.0,7.5,1,0,1,0
164,BCom,74,57,64,56,4,3,4,3,9,7,59.0,65.5,60.0,3.5,3.5,31.5,18,0.5,52.0,8.0,0,0,0,0
165,Mechanical,86,86,74,61,4,5,10,2,8,2,73.66666666666667,86.0,67.5,4.5,7.5,34.75,25,2.5,71.66666666666667,5.0,0,0,0,1
166,BBA,66,62,65,65,6,4,2,2,5,10,64.0,64.0,65.0,5.0,3.0,33.5,1,3.0,54.0,7.5,0,0,0,0
167,Nursing,63,69,81,87,0,1,0,8,8,8,79.0,66.0,84.0,0.5,0.5,46.0,-24,-7.5,71.0,8.0,0,1,1,0
168,ECE,91,97,55,48,7,10,2,1,5,5,66.66666666666667,94.0,51.5,8.5,6.0,26.25,43,7.5,61.66666666666667,5.0,0,0,0,0
169,Mechanical,81,95,78,62,7,4,10,2,8,4,78.33333333333333,88.0,70.0,5.5,7.0,36.0,19,3.5,74.33333333333333,6.0,0,0,0,1
170,EEE,90,100,55,56,5,10,6,0,6,1,70.33333333333333,95.0,55.5,7.5,8.0,27.75,34,7.5,69.33333333333333,3.5,0,0,0,0
171,Nursing,63,56,68,85,3,3,3,10,6,9,69.66666666666667,59.5,76.5,3.0,3.0,43.25,-22,-7.0,60.66666666666667,7.5,0,1,0,0
172,ECE,86,97,55,54,9,10,7,1,7,6,68.66666666666667,91.5,54.5,9.5,8.5,27.75,32,8.5,62.66666666666667,6.5,1,0,0,1
173,MBBS,79,79,94,99,3,4,2,10,7,6,90.66666666666667,79.0,96.5,3.5,3.0,53.25,-20,-6.5,84.66666666666667,6.5,0,1,0,0
